priority,status,action,name,key,mentions,sources,score,context,source_examples
LOW,missing_candidate,park_or_ignore_until_confirmed,Hans Jarle Kind,hans-jarle-kind,2,1,9,"ustrial Organization*, Vol 66, s. 119-136 10. **The importance of consumer multihoming for market performance** (2019) - Medforfattere: Simon P. Anderson, Hans Jarle Kind - *Journal of Economics and Management Strategy*,",research/bibliotek/akademia/nhh-food/oystein-foros-profil.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Master's Degree,masters-degree,2,1,9,"*Authors:** Eric Ponzio, Joakim Wulff & Martin Larsson - **Year:** 2004 - **Institution:** Lund University, School of Economics and Management - **Programme:** Master's Degree (One Year) - **Language:** Swedish - **URL:*",research/bibliotek/akademia/nordic-theses-bibliography.md
LOW,missing_candidate,park_or_ignore_until_confirmed,One Year,one-year,2,1,9,"Ponzio, Joakim Wulff & Martin Larsson - **Year:** 2004 - **Institution:** Lund University, School of Economics and Management - **Programme:** Master's Degree (One Year) - **Language:** Swedish - **URL:** https://lup.lub",research/bibliotek/akademia/nordic-theses-bibliography.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Properties Board,properties-board,2,1,9,"rue : false"" x-on:scroll.window.debounce.100ms=""scrolled = (window.pageYOffset > 20) ? true : false""> Home { open = value === 0})""> Our portfolio Our portfolio Properties Board &amp; management Investors About us Contact",research/evidence-pack/arsrapporter/cibus-nordic-2024.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Investors About,investors-about,2,1,9,"bounce.100ms=""scrolled = (window.pageYOffset > 20) ? true : false""> Home { open = value === 0})""> Our portfolio Our portfolio Properties Board &amp; management Investors About us Contact us { if (value == true) { const s",research/evidence-pack/arsrapporter/cibus-nordic-2024.md
LOW,missing_candidate,park_or_ignore_until_confirmed,RAS Summit,ras-summit,2,1,9,pages &times; Explore Features News Opinion Showcase Hatchery International Aquaculture North America RASTECH USA RASTECH EUROPE Virtual Events RAS Summit 2024 RAS Summit 2022 RAS Summit 2020 Videos Webinars RAS Academy ,research/evidence-pack/sirkular-konkurser/billund-aquaculture/media-rastech.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Cathrine - Aktører,cathrine-aktrer,1,1,8,"- **Eneste reell kontakt:** - E-Klei (sirkulær by-aktør, internasjonalt) — arbeidsmøte februar 2025 - NMBU Sustainable Foods-senteret — innsiktsintervju av Cathrine - Aktører som Nefco, Kulto, Minus, Lupex — Cathrine: «a",docs/meetings/TRANSITION GROUPS - Møte 13-04-26.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Cities: Koble,cities-koble,1,1,8,"eresserte aktørene først - Bruk eksisterende relasjoner fremfor kald kontakt - Food: Lars (Nordic Food Systems), Cecilie (Foodstudio/podcast), Brimi-senteret - Cities: Koble til eksisterende Natural State-prosjekter og r",docs/meetings/TRANSITION GROUPS - Møte 13-04-26.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Laura Forsman,laura-forsman,1,1,8,"nt som første langliste eller mulige innganger. Listen er ikke endelig prioritert. / Land/område / Aktør/person / Relevans / /---/---/---/ / Finland / Vicky / Laura Forsman, Helsinki Foodstudio / Foodstudio, nordisk mati",docs/meetings/TRANSITION GROUPS - Møte 21-04-26.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Helsinki Foodstudio,helsinki-foodstudio,1,1,8,"angliste eller mulige innganger. Listen er ikke endelig prioritert. / Land/område / Aktør/person / Relevans / /---/---/---/ / Finland / Vicky / Laura Forsman, Helsinki Foodstudio / Foodstudio, nordisk matinnovasjon, tidl",docs/meetings/TRANSITION GROUPS - Møte 21-04-26.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Danish Ocean Cluster,danish-ocean-cluster,1,1,8,"tudio / Foodstudio, nordisk matinnovasjon, tidligere kontakt / / Sverige / AX Foundation / Sirkulære matsystemer, oppdrettsfôr, praktiske piloter / / Danmark / Danish Ocean Cluster / Oversikt over sjømat/havrelaterte ver",docs/meetings/TRANSITION GROUPS - Møte 21-04-26.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Kartlegge NCH,kartlegge-nch,1,1,8,ske kontakter / Basert på tidligere kontakt med Linn/Malte / / Cathrine / Følge opp Hanne/NMBU-sporet / Særlig forsknings- og finansieringskoblinger / / Thea / Kartlegge NCH-medlemmer/relasjoner som jobber med food / Sta,docs/meetings/TRANSITION GROUPS - Møte 21-04-26.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Responsloggmal Bruk,responsloggmal-bruk,1,1,8,"n deles, og hva må anonymiseres eller brukes kun som bakgrunn? ``` **Berører:** `CL-B-001`, `CL-B-002`, `CL-B-022`, `CL-C-012`, `CL-C-014`, `CL-C-015`. ## 9. Responsloggmal Bruk denne tabellen når svar kommer inn. Ikke e",docs/project/mandates/actor-outreach-food-tg-v0.1.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Kan Matvett,kan-matvett,1,1,8,"ting, goodiebag? 5. Hvilke data finnes allerede i POS/ERP/avfallsavtale: volum, varegruppe, dato, prisavslag, donert mengde, årsak, temperatur, destinasjon? 6. Kan Matvett/Too Good To Go/dagligvare eller HORECA-partner d",docs/project/mandates/analysefabrikk-handoffs/2026-04-28-worker-b-sidestream-source-cards.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Stoppsignaler Stopp,stoppsignaler-stopp,1,1,8,"aker, dagligvare/HORECA. / Ingen status løftes til `Validert eksternt` før respons er dokumentert med dato, kontakt, rolle, kildegrunnlag og bruksrett. ## 8. Stoppsignaler Stopp ekstern effektfortelling, pilotcommitment ",docs/project/mandates/decision-memo-food-tg-scope-v0.3.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Dagligvaretilsynet Samarbeidsklima,dagligvaretilsynet-samarbeidsklima,1,1,8,"erandører; bruk absolutte datoer rundt overføringen. / Høy / 5 / bruk som norsk legal baseline / / EV-C-014 / C-adoption, policy, actor / SRC-C-014, SRC-C-015: Dagligvaretilsynet Samarbeidsklima 2025 og årsrapporter / pr",docs/project/mandates/evidence-matrix-food-tg.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Onboarding: - Nye,onboarding-nye,1,1,8,"om mulig ressurser. - Representere gruppens arbeid i egen organisasjon og egne nettverk. - Følge NCHs prinsipper for åpenhet, samarbeid og delt verdiskaping. Onboarding: - Nye medlemmer inviteres basert på gruppens behov",docs/project/mandates/food-transition-group-mandate-2026-04-21.md
LOW,missing_candidate,park_or_ignore_until_confirmed,PDF: - Natural State,pdf-natural-state,1,1,8,basert på gruppens behov og strategiske hull identifisert i stakeholder mapping. - Medlemskap bekreftes av chair/co-chairs i samråd med NCH. Kjernemedlemmer i PDF: - Natural State (Norway). - To åpne medlemslinjer står s,docs/project/mandates/food-transition-group-mandate-2026-04-21.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Workplan Mandatperioden,workplan-mandatperioden,1,1,8,. - Medlemskap bekreftes av chair/co-chairs i samråd med NCH. Kjernemedlemmer i PDF: - Natural State (Norway). - To åpne medlemslinjer står som `...`. ## 7. Workplan Mandatperioden dekker første arbeidsperiode frem til s,docs/project/mandates/food-transition-group-mandate-2026-04-21.md
LOW,missing_candidate,park_or_ignore_until_confirmed,God HORECA,god-horeca,1,1,8,"k metode, høy risiko for dobbelttelling og lav claim strength. / / Partner er offentlig kjøkken/kantine med kontroll på produksjon, servering og plate waste. / God HORECA-pilot hvis måling er praktisk. / Høy rutinekontro",docs/project/mandates/research-dossiers/dossier-b-food-waste-cascade-governance.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Kvalitetsregler - Intern,kvalitetsregler-intern,1,1,8,orge). - Chair/co-chair: avklares av Jan Thomas/Einar innen 05.05. - Beslutningsforum: ukentlig tirsdagsmøte. - Beslutningslogg: `decision-log-food-tg.md`. ## Kvalitetsregler - Intern syntese er ikke nok for sterke ekste,docs/project/mandates/tg-charter-food-2026.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Natural States,natural-states,1,1,8,"c7777ae826` / NI-søknadsplanlegging — men fokus er bygg/konstruksjon, ikke mat / Ikke importert / / N8 / **Funding Map** / `320f447d5b438113aaf0f34fce1ec699` / Natural States interne funding-verktøy, Horizon/NI/Interreg ",research/DISCOVERY-MANIFEST.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Stakeholder Interviews,stakeholder-interviews,1,1,8,"-- ## Priority Overview / # / Mission / Priority / Blocks / Est. Time / Evidence Pack / /---/---------/----------/--------/-----------/---------------/ / 1 / Stakeholder Interviews / A — Critical / Whitepaper §3, §5, §6 ",research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,TG Charter,tg-charter,1,1,8,"s / A — Critical / Whitepaper §3, §5, §6 / 2–3 weeks / — / / 2 / Nordic Partner Data Validation / A — Critical / Whitepaper §4, Fig 6–9 / 1–2 weeks / — / / 3 / TG Charter + Stakeholder Mapping Workshop / A — Critical / E",research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,EAT Forum,eat-forum,1,1,8,0 / Betina Simonsen / LDCluster / Partner (DK) / (known) / / 11 / Riksrevisjonen / Oversight / — / / 12 / Supplier representative (NNN) / Industry / — / / 13 / EAT Forum / Knowledge / — / / 14 / Matvalget / Implementatio,research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Example: NMBU,example-nmbu,1,1,8,"(1–5) / Current Stance / Desired Stance / Specific ""Ask"" / /-------------/-------------/-----------------/----------------/----------------/----------------/ / Example: NMBU / 3 / 4 / Supportive / Active partner / Co-aut",research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Champion: Actively,champion-actively,1,1,8,--/----------------/----------------/ / Example: NMBU / 3 / 4 / Supportive / Active partner / Co-author policy brief / / / / / / / / **Stance definitions:** - Champion: Actively advocates for our work - Supportive: Posit,research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Supportive: Positive,supportive-positive,1,1,8,ple: NMBU / 3 / 4 / Supportive / Active partner / Co-author policy brief / / / / / / / / **Stance definitions:** - Champion: Actively advocates for our work - Supportive: Positive but passive - Neutral: Unaware or indiff,research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Neutral: Unaware,neutral-unaware,1,1,8,tive partner / Co-author policy brief / / / / / / / / **Stance definitions:** - Champion: Actively advocates for our work - Supportive: Positive but passive - Neutral: Unaware or indifferent - Skeptical: Has concerns - O,research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Cross-Mission Dependencies,crossmission-dependencies,1,1,8,med by funding timelines - Concept note structured to align with best-fit funding call - Partnership strategy refined based on consortium requirements --- ## Cross-Mission Dependencies ``` Mission 3 (Charter) ──────────>,research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Quick Reference: File Locations,quick-reference-file-locations,1,1,8,inance Note (1 page) / **GAP → Mission 7** / 7 / / 7. Roadmap (1–3 yr) / Phase 2 (requires 6 + 7) / — / / 8. Executive Brief (1 page) / **DONE** / — / --- ## Quick Reference: File Locations for Returns / Mission / Return,research/RESEARCH-MISSIONS.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Part IV: Document,part-iv-document,1,1,8,ap / **Partner validation not yet completed:** Michel Bajuk (Sweden) and Betina Simonsen (Denmark) have not yet confirmed our market share estimates. --- ## Part IV: Document & Source Architecture Assessment ### 4.1 Stor,research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Complete TG Charter,complete-tg-charter,1,1,8,---/-------/--------/ / 1 / **Execute stakeholder interviews** (Mission 1) / Gabriel/Cathrine / Transforms whitepaper from desk research to narrative / / 2 / **Complete TG Charter + Stakeholder Map workshop** (Mission 3),research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Stakeholder Map,stakeholder-map,1,1,8,/ 1 / **Execute stakeholder interviews** (Mission 1) / Gabriel/Cathrine / Transforms whitepaper from desk research to narrative / / 2 / **Complete TG Charter + Stakeholder Map workshop** (Mission 3) / Gabriel/Cathrine/Ei,research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Execute Tier,execute-tier,1,1,8,"/ **5.5/10** / **Strong desk research foundation; critical gaps in primary data, evidence deliverables, and citation rigor** / ### Path to 8/10 by June 2026 Execute Tier 1 actions (items 1-6) to reach 7/10. Add Tier 2 it",research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Add Tier,add-tier,1,1,8,"critical gaps in primary data, evidence deliverables, and citation rigor** / ### Path to 8/10 by June 2026 Execute Tier 1 actions (items 1-6) to reach 7/10. Add Tier 2 items 7-12 for 8/10. This is achievable if human mis",research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Part VII: Detailed Missing Sources,part-vii-detailed-missing-sources,1,1,8,"6) to reach 7/10. Add Tier 2 items 7-12 for 8/10. This is achievable if human missions (interviews, workshop, partner validation) start within 1 week. --- ## Part VII: Detailed Missing Sources ### 7.1 Specific Documents ",research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Specific Documents,specific-documents,1,1,8,"8/10. This is achievable if human missions (interviews, workshop, partner validation) start within 1 week. --- ## Part VII: Detailed Missing Sources ### 7.1 Specific Documents to Collect (Desk Research Plan Gaps) **Konku",research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,External URL,external-url,1,1,8,ch question backlog / ## Appendix C: External Dependencies & Risks / Risk / Probability / Impact / Mitigation / /------/------------/--------/------------/ / External URL rot (gov sites restructure) / High / Medium / Arc,research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Execute Mission,execute-mission,1,1,8,----------/ / External URL rot (gov sites restructure) / High / Medium / Archive critical PDFs locally / / Nordic partner data unvalidated / Certain / Medium / Execute Mission 2 / / Google Drive MCP remains broken / Medi,research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Google Drive MCP,google-drive-mcp,1,1,8,URL rot (gov sites restructure) / High / Medium / Archive critical PDFs locally / / Nordic partner data unvalidated / Certain / Medium / Execute Mission 2 / / Google Drive MCP remains broken / Medium / Low-Med / Re-autho,research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Low-Med,lowmed,1,1,8,edium / Archive critical PDFs locally / / Nordic partner data unvalidated / Certain / Medium / Execute Mission 2 / / Google Drive MCP remains broken / Medium / Low-Med / Re-authorize; manual download as fallback / / Inte,research/analyse/CRITICAL-PROJECT-REVIEW-2026-03-25.md
LOW,missing_candidate,park_or_ignore_until_confirmed,DocPlayer HTML,docplayer-html,1,1,8,"feilet (esposito, orlova, granlund-lindskog, sandbraaten) - 17 ytterligere NVA/Brage-teser (krever Feide-innlogging) - 4 CBS-oppgaver (Cloudflare-blokkert) - 1 DocPlayer HTML-viewer (barbakken-hausken-2006) **Permanent u",research/analyse/MASTER-ANALYSE-INDEX.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Bondens Marked,bondens-marked,1,1,8,"OK/år - **Nøkkeltall:** FI 180 ringer, SE 220, NO voksende. DIGIFOOD digitaliserer - **Nordisk:** FI/SE leder, NO henger etter i formalisering - **Potensial:** Bondens Marked, restaurantnettverk, kortreist-politikk - **G",research/analyse/arbeidsanalyse-verdikjede-sirkularitet-2026-04-13.md
LOW,missing_candidate,park_or_ignore_until_confirmed,NOK - Driftsinntekter,nok-driftsinntekter,1,1,8,"endomsporteføljen. Styreleder er Odd Reitan (f. 1951), grunnlegger av REMA 1000. For kontekst: REITAN AS (morselskap, 912609987): - Sum eiendeler: 24 560 mrd. NOK - Driftsinntekter: 4 138 mrd. NOK - Driftsresultat: 3 884",research/analyse/eiendomsmodell-finansiell-analyse.md
LOW,missing_candidate,park_or_ignore_until_confirmed,NOK - Driftsresultat,nok-driftsresultat,1,1,8,"dd Reitan (f. 1951), grunnlegger av REMA 1000. For kontekst: REITAN AS (morselskap, 912609987): - Sum eiendeler: 24 560 mrd. NOK - Driftsinntekter: 4 138 mrd. NOK - Driftsresultat: 3 884 mrd. NOK - Årsresultat: 3 713 mrd",research/analyse/eiendomsmodell-finansiell-analyse.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Minister Nils Kristen Sandtroen,minister-nils-kristen-sandtroen,1,1,8,"Norge eies primaert av to departementer: - **Landbruks- og matdepartementet (LMD):** Primaerproduksjon, jordbruksavtalen, importvern, mattrygghet, matpolitikk. Minister Nils Kristen Sandtroen (Ap). Fire fagavdelinger + K",research/analyse/governance-arkitektur-nordisk.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Gasum Riihimäki,gasum-riihimaki,1,1,8,er / Planlagt / / Sverige / 32 samrötningsanlegg / 1 233 GWh (>50 % av total) / Drift / / Danmark / Diverse storskala / >8 000 GWh totalt / Drift / / Finland / Gasum Riihimäki / 45 GWh (utvides 2025) / Drift + utvidelse ,research/analyse/nordisk-sirkularitet-komparativ.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Gasum Turku,gasum-turku,1,1,8,al) / Drift / / Danmark / Diverse storskala / >8 000 GWh totalt / Drift / / Finland / Gasum Riihimäki / 45 GWh (utvides 2025) / Drift + utvidelse / / Finland / Gasum Turku / 61 GWh / Drift / ### 3.3 Virkemiddeldesign: Hv,research/analyse/nordisk-sirkularitet-komparativ.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Norges Handelshøyskole,norges-handelshyskole,1,1,8,-foros-media-2025.pdf **ID:** akademia-nhh-foros-media-2025 **Tittel:** Curriculum Vitae - Øystein Foros **Forfatter(e):** Øystein Foros **Institusjon:** NHH (Norges Handelshøyskole) **År:** 2025 **Type:** CV / publikasj,research/analyse/pdf-gjennomgang-akademia-1.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Sammendrag CV,sammendrag-cv,1,1,8,"ros **Forfatter(e):** Øystein Foros **Institusjon:** NHH (Norges Handelshøyskole) **År:** 2025 **Type:** CV / publikasjonsliste **Språk:** Engelsk / Norsk ### Sammendrag CV for professor Øystein Foros ved NHH, en av de l",research/analyse/pdf-gjennomgang-akademia-1.md
LOW,missing_candidate,park_or_ignore_until_confirmed,AI - Behov,ai-behov,1,1,8,"ap - Primaerproduksjon har lavere digitaliseringsgrad enn andre sektorer - Aldrende arbeidsstyrke i landbrukssektoren krever oppskalering og nye strategier for AI - Behov for brukergrensesnitt, smal AI-fokus og sammenkob",research/analyse/pdf-gjennomgang-akademia-3.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Porsgrunn - Budsjett,porsgrunn-budsjett,1,1,8,"bygging, og etablering av kontakt med bransjen. Null formelle vedtak fattet. - **Nokkelfunn:** - Dagligvaretilsynet opprettet 1. januar 2021 - Lokalisert i Porsgrunn - Budsjett: 6,59 mill. NOK (2021) - Bemanning: 1,68 ar",research/analyse/pdf-gjennomgang-offentlig.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Ahold Delhaize,ahold-delhaize,1,1,8,"sentlig fra det nordiske treaktors-oligopolet. Colruyt Group leder med ca. 29 % markedsandel (ned til 28,8 % i foerste halvar 2025/26), etterfulgt av Delhaize (Ahold Delhaize, 21 %), Carrefour Belgium (18 %), Lidl (10 %)",research/bibliotek/akademia/internasjonalt/belgia-dagligvare-prisregulering.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Carrefour Belgium,carrefour-belgium,1,1,8,"e treaktors-oligopolet. Colruyt Group leder med ca. 29 % markedsandel (ned til 28,8 % i foerste halvar 2025/26), etterfulgt av Delhaize (Ahold Delhaize, 21 %), Carrefour Belgium (18 %), Lidl (10 %) og Aldi (9 %). Til sam",research/bibliotek/akademia/internasjonalt/belgia-dagligvare-prisregulering.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Oversikt Frankrike,oversikt-frankrike,1,1,8,*Dato:** 25. mars 2026 (Analysert) **Kilde:** https://www.connexionfrance.com/news/what-is-frances-egalim-law-and-why-does-it-matter-to-farmers/592442 --- ## Oversikt Frankrike har Europas mest regulerte dagligvaremarked,research/bibliotek/akademia/internasjonalt/fransk-dagligvare-egalim.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Innovation Network,innovation-network,1,1,8,uropeiske finansiøren av alternativt proteinforskning med over 67 millioner euro. Nordiske nettverk inkluderer NAPKIN (Nordic Alternative Protein Knowledge and Innovation Network) og «Cultivated Meat — Nordic take». ## N,research/bibliotek/akademia/internasjonalt/nordic-protein-shift-research-2024.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Cultivated Meat,cultivated-meat,1,1,8,alternativt proteinforskning med over 67 millioner euro. Nordiske nettverk inkluderer NAPKIN (Nordic Alternative Protein Knowledge and Innovation Network) og «Cultivated Meat — Nordic take». ## Nøkkelfunn - Nordiske land,research/bibliotek/akademia/internasjonalt/nordic-protein-shift-research-2024.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Nøkkelfunn - Nordiske,nkkelfunn-nordiske,1,1,8,er 67 millioner euro. Nordiske nettverk inkluderer NAPKIN (Nordic Alternative Protein Knowledge and Innovation Network) og «Cultivated Meat — Nordic take». ## Nøkkelfunn - Nordiske land: 4 av topp 10 europeiske finansiør,research/bibliotek/akademia/internasjonalt/nordic-protein-shift-research-2024.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Oversikt Det,oversikt-det,1,1,8,aremarkedet — en sammenlikning med Norge **Dato:** 25. mars 2026 (Analysert) **Kilde:** https://www.grocerytradenews.com/uk-grocery-market-share-2025/ --- ## Oversikt Det britiske dagligvaremarkedet er et oligopol domine,research/bibliotek/akademia/internasjonalt/uk-dagligvaremarked-konsentrasjon.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Sven Haugland,sven-haugland,1,1,8,r mellom detaljist og produsent **Full tittel:** Det norske dagligvaremarkedet: relasjoner mellom detaljist og produsent **Type:** Masteroppgave **Veileder:** Professor Sven Haugland **Dato:** 13. mars 2026 (Analysert) *,research/bibliotek/akademia/masteroppgaver/barbakken-hausken-2006.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Sammendrag: Frode Steen,sammendrag-frode-steen,1,1,8,"# Sammendrag: Frode Steen — Publikasjonsprofil **Full tittel:** Frode Steen — NorgesGruppen-professor i konkurranseøkonomi, NHH **Dato:** 25. mars 2026 (Analysert) **Kilde:** https://w",research/bibliotek/akademia/nhh-food/frode-steen-profil.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Compass Lexecon,compass-lexecon,1,1,8,"konomi, NHH, og innehar NorgesGruppens professorat i konkurranseøkonomi for dagligvaremarkeder. Han er tilknyttet CEPR (Centre for Economic Policy Research) og Compass Lexecon som akademisk affiliert. Professor siden 200",research/bibliotek/akademia/nhh-food/frode-steen-profil.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Sammendrag: Øystein Foros,sammendrag-ystein-foros,1,1,8,"# Sammendrag: Øystein Foros — Publikasjonsprofil **Full tittel:** Øystein Foros — Professor i industriell økonomi, NHH **Dato:** 25. mars 2026 (Analysert) **Kilde:** https://www.nhh.no/e",research/bibliotek/akademia/nhh-food/oystein-foros-profil.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Salling Group's,salling-groups,1,1,8,inance designation: https://www.kkv.fi/en/facts-and-advice/competition-affairs/abuse-of-dominant-position/maaraava-markkina-asema-paivittaistavarakaupassa/ - **Salling Group's acquisition of parts of Coop Danmark** (2025,research/bibliotek/akademia/nordic-theses-bibliography.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Sammendrag SIFOs,sammendrag-sifos,1,1,8,"kningsinstituttet SIFO, OsloMet **År:** 2024 **Type:** working-paper **URL:** https://www.oslomet.no/en/research/research-groups/consumption-policy-economy ## Sammendrag SIFOs forskningsgruppe for forbrukerpolitikk og øk",research/bibliotek/akademia/sifo/forbrukerpolitikk-dagligvare-2024.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Oversikt Norsk,oversikt-norsk,1,1,8,to:** 25. mars 2026 (Analysert) **Kilde:** https://partner.sciencenorway.no/farming-immigrants-nmbu/whos-picking-your-strawberries-this-summer/2515966 --- ## Oversikt Norsk og nordisk matproduksjon er strukturelt avhengi,research/bibliotek/arbeidsliv/migrantarbeid-matproduksjon.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Vurdering Dette,vurdering-dette,1,1,8,"Grains of Truth / 2021-2025 / EAT-eid/partner med GlobeScan / Produserer forbrukerinnsikt om barrierer, holdninger og endringsvilje i kostholdssporet. / #### Vurdering Dette er den sterkeste delen av EATs portefølje. Org",research/bibliotek/forskningsrunde-2026-04-20/eat-foundation/report.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Planetary Health Diet,planetary-health-diet,1,1,8,"og utslippsreduserende bystrategier. / / C40 Good Food Cities Declaration / Accelerator / 2019- / EAT som rammesetter og partner / Gir byer et konkret løfte om Planetary Health Diet, plantebasert omstilling og matsvinnre",research/bibliotek/forskningsrunde-2026-04-20/eat-foundation/report.md
LOW,missing_candidate,park_or_ignore_until_confirmed,EAT Move Sleep,eat-move-sleep,1,1,8,"asjonal produksjons- og verdikjedeanalyse ### 4.3 Barn, ungdom og atferdsendring / Initiativ / Periode / EATs rolle / Hva arbeidet gjør / /---/---/---/---/ / EAT Move Sleep / fra 2015 / EAT-partner / Samarbeid med NFF og",research/bibliotek/forskningsrunde-2026-04-20/eat-foundation/report.md
LOW,missing_candidate,park_or_ignore_until_confirmed,CO-CREATE Dialogue Forum,cocreate-dialogue-forum,1,1,8,"CHEW / fra 2017 / EAT-partner med UNICEF / Utforsker koblingen mellom matsystemer og barns helse/ernæring, særlig urbane matmiljøer og barn som målgruppe. / / CO-CREATE Dialogue Forum / H2020-periode, aktiv som verktøy e",research/bibliotek/forskningsrunde-2026-04-20/eat-foundation/report.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Oslo Youth,oslo-youth,1,1,8,"020-periode, aktiv som verktøy etterpå / EAT-partner / Verktøy for samutvikling mellom ungdom og beslutningstakere rundt sunnere matmiljøer og forebygging. / / Oslo Youth for Healthy and Sustainable Diets / 2022- / EAT-l",research/bibliotek/forskningsrunde-2026-04-20/eat-foundation/report.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Action Track,action-track,1,1,8,"ere, næringsliv, byledere, aktivister og investorer. / / UN Food Systems Summit Action Track 2 / 2020-2021 / EAT-ledet politisk rolle / Gunhild Stordalen ledet Action Track 2 om bærekraftige konsumskift; EAT fikk betydel",research/bibliotek/forskningsrunde-2026-04-20/eat-foundation/report.md
LOW,missing_candidate,park_or_ignore_until_confirmed,Land-Use Coalition,landuse-coalition,1,1,8,/ EAT-ledet politisk rolle / Gunhild Stordalen ledet Action Track 2 om bærekraftige konsumskift; EAT fikk betydelig politisk tyngde gjennom dette. / / Food and Land-Use Coalition (FOLU) / fra 2017 / EAT-partner/co-host v,research/bibliotek/forskningsrunde-2026-04-20/eat-foundation/report.md
LOW,missing_candidate,park_or_ignore_until_confirmed,EAT Cook Club,eat-cook-club,1,1,8,"h / 2021-2025 / EAT-eid/partner med GlobeScan / Kartlegger hvordan folk faktisk tenker om sunn og bærekraftig mat, og hvilke barrierer som bremser endring. / / EAT Cook Club / 2021-2023 og videre som arkiv/kampanje / EAT",research/bibliotek/forskningsrunde-2026-04-20/eat-foundation/report.md
